,lookback,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
35,10,16,800,0.1,"[-0.06107905972747877, -0.0612022158920124, -0.061224767689331334, -0.06123176639399884, -0.061235068669889946, -0.06123683547827139, -0.061237629932192617, -0.061237998638651155, -0.06123825948908582, -0.06123843026778014, -0.06123851941843723, -0.06123856904869256, -0.061238615702320684, -0.06123866029887593, -0.061238666467036705]","[-0.12702202796936035, -0.12705180048942566, -0.12706224620342255, -0.1270662397146225, -0.1270689219236374, -0.12706977128982544, -0.12707017362117767, -0.12707047164440155, -0.12707068026065826, -0.12707078456878662, -0.1270708590745926, -0.12707090377807617, -0.12707094848155975, -0.12707096338272095, -0.12707097828388214]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
36,10,32,100,0.001,"[-0.060944065015243375, -0.06111041659034342, -0.06117467435103925, -0.06120249771572459, -0.061216039879344736, -0.06122336169349737, -0.061227704387721855, -0.06123046828193463, -0.06123228271783769, -0.06123356746966782, -0.06123449245279613, -0.061235220289137755, -0.06123576614271603, -0.061236220293333615, -0.061236588841847434]","[-0.1268826657237269, -0.12698146322155526, -0.12702262154600238, -0.1270417370190278, -0.12705139461801856, -0.1270571700117206, -0.12706070759678414, -0.12706305753460245, -0.12706468431330517, -0.1270658899078053, -0.12706676685349058, -0.12706746926623813, -0.12706801147092114, -0.1270684613048701, -0.1270688372093011]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
37,10,32,100,0.005,"[-0.061147311380932025, -0.06123053569212279, -0.061235594716792976, -0.06123711917291827, -0.061237801705207345, -0.061238164589423265, -0.06123836115725893, -0.061238488195775584, -0.061238566735552745, -0.061238606143057234, -0.06123865301504208, -0.06123866879463548, -0.061238685706472014, -0.06123871458155809, -0.06123872718219091]","[-0.12705418319333325, -0.12706632311172908, -0.1270687385817259, -0.12706973901769733, -0.12707021371435723, -0.12707053231929546, -0.12707068445932798, -0.1270707954359318, -0.12707087150594806, -0.12707093111059284, -0.12707096815767868, -0.1270709805067073, -0.1270710071806091, -0.12707102776232346, -0.12707103599500919]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
38,10,32,100,0.1,"[-0.061190472276310026, -0.06123809803029704, -0.06123862934026805, -0.061238709951764274, -0.06123871718924865, -0.06123874824230988, -0.06123874237320101, -0.06123873747350397, -0.06123874449243276, -0.0612387411828455, -0.0612387475879511, -0.061238747831499164, -0.06123872056046554, -0.06123874276476023, -0.061238741208559155]","[-0.127069309600809, -0.1270708552052303, -0.12707098462305016, -0.127071021670136, -0.12707104011135206, -0.12707104011135206, -0.12707104834403782, -0.12707104834403782, -0.12707104834403782, -0.12707104834403782, -0.12707104834403782, -0.12707104834403782, -0.12707104834403782, -0.12707104834403782, -0.12707104834403782]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
39,10,32,500,0.001,"[-0.06089047272010104, -0.06095285638136798, -0.061000494398005, -0.06103787512823184, -0.061067959622761805, -0.06109255141422679, -0.06111298483752069, -0.06112979663724256, -0.061143906370777074, -0.061155796686883736, -0.061165895908680684, -0.06117454315385511, -0.06118199101058386, -0.0611883557749234, -0.06119392530709368]","[-0.12673872709274292, -0.1267937421798706, -0.12683676183223724, -0.12687215209007263, -0.12690114974975586, -0.12692488729953766, -0.12694454193115234, -0.1269611120223999, -0.12697502970695496, -0.12698689103126526, -0.12699703872203827, -0.12700575590133667, -0.12701326608657837, -0.12701979279518127, -0.12702548503875732]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
40,10,32,500,0.005,"[-0.06097605375261168, -0.06113098082797868, -0.06118983547625271, -0.06121366331710596, -0.06122272007293232, -0.06122774659397049, -0.0612310827030198, -0.061232899580316795, -0.061234047061287315, -0.06123488838007624, -0.06123550959538022, -0.06123597762002374, -0.06123637122544071, -0.06123668547095974, -0.061236948879880536]","[-0.1269204318523407, -0.12700305879116058, -0.1270381212234497, -0.12705107033252716, -0.12705737352371216, -0.12706173956394196, -0.12706422805786133, -0.12706567347049713, -0.12706667184829712, -0.12706737220287323, -0.1270679384469986, -0.1270683854818344, -0.12706872820854187, -0.12706904113292694, -0.12706927955150604]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
41,10,32,500,0.1,"[-0.06104404398006961, -0.06120544140972483, -0.06122898641178318, -0.061234604206777385, -0.06123687261672613, -0.06123777624693656, -0.06123815143849993, -0.0612384216444087, -0.06123854831295347, -0.06123860005272149, -0.06123864266180223, -0.061238664361189035, -0.06123869036382977, -0.061238693305149604, -0.06123868810746178]","[-0.12701018154621124, -0.12705765664577484, -0.12706519663333893, -0.12706871330738068, -0.1270698606967926, -0.127070352435112, -0.12707065045833588, -0.12707079946994781, -0.12707087397575378, -0.12707093358039856, -0.12707094848155975, -0.12707097828388214, -0.12707099318504333, -0.12707099318504333, -0.12707100808620453]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
42,10,32,800,0.001,"[-0.060862489056111115, -0.060911885238096646, -0.060953684574631135, -0.060988642653012605, -0.06101787100315735, -0.061042713790348, -0.06106386654874376, -0.061082303798693116, -0.061098473956279126, -0.06111272954354821, -0.061125515963711075, -0.06113678015505297, -0.0611468051801995, -0.06115562783789307, -0.061163559121104064]","[-0.12670359015464783, -0.12675224244594574, -0.12679223716259003, -0.1268254667520523, -0.12685343623161316, -0.12687723338603973, -0.12689781188964844, -0.12691564857959747, -0.12693144381046295, -0.1269456446170807, -0.12695814669132233, -0.12696926295757294, -0.1269790083169937, -0.1269877701997757, -0.12699560821056366]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
43,10,32,800,0.005,"[-0.06093020565498809, -0.061078712662478794, -0.061153292125861694, -0.061188489793815554, -0.06120650834202217, -0.06121669350314983, -0.06122274433595977, -0.061226963264418455, -0.06122970558165039, -0.06123168896969562, -0.06123311490324053, -0.06123408953488094, -0.06123476359997377, -0.06123527495359312, -0.06123568225199909]","[-0.1268734633922577, -0.12696534395217896, -0.12701056897640228, -0.1270330250263214, -0.12704546749591827, -0.12705251574516296, -0.12705765664577484, -0.12706099450588226, -0.12706315517425537, -0.12706494331359863, -0.12706604599952698, -0.12706679105758667, -0.12706735730171204, -0.12706780433654785, -0.1270681619644165]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
44,10,32,800,0.1,"[-0.06098373736163312, -0.061166733091328, -0.06121638192925402, -0.06122683082491205, -0.06123237045224829, -0.06123525572628836, -0.061236641557169035, -0.061237371828515776, -0.061237855441009945, -0.061238116932354765, -0.06123829327420705, -0.06123840369387156, -0.06123847918393242, -0.061238522686068504, -0.061238556096737076]","[-0.12695081532001495, -0.12703785300254822, -0.12705737352371216, -0.1270635426044464, -0.12706704437732697, -0.1270686686038971, -0.12706950306892395, -0.12707003951072693, -0.1270703375339508, -0.12707054615020752, -0.12707066535949707, -0.12707075476646423, -0.12707079946994781, -0.1270708441734314, -0.12707087397575378]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
45,10,64,100,0.001,"[-0.06097680020828112, -0.061144105184050036, -0.06119568536150879, -0.061216234848062046, -0.06122547314829907, -0.061230058657572105, -0.06123256422155584, -0.061234084285460885, -0.061235072373138626, -0.06123578332695062, -0.061236348313563345, -0.0612367583907732, -0.06123709161973506, -0.06123735793950343, -0.06123760160806805]","[-0.12692401636371298, -0.1270084728522854, -0.12704005327013976, -0.1270535807253906, -0.12705995941030387, -0.12706338536014872, -0.12706536713226066, -0.1270666649328411, -0.1270675540629013, -0.12706821942856297, -0.12706872870250302, -0.12706912716449295, -0.12706945992965066, -0.12706970229991893, -0.12706992211262824]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
46,10,64,100,0.005,"[-0.0611229756368979, -0.06123242376512328, -0.06123668105113821, -0.061237804555746754, -0.06123825434529572, -0.06123846488998136, -0.061238578616078586, -0.06123863676955763, -0.061238678209731605, -0.06123870896685697, -0.06123872820743734, -0.06123872762165464, -0.061238730508848926, -0.061238736197740486, -0.06123874115632928]","[-0.12705787374169786, -0.12706784121898, -0.12706964269527415, -0.12707035152951657, -0.1270706577854262, -0.12707082836667477, -0.1270709085530339, -0.1270709640413358, -0.12707098873939304, -0.12707101129695197, -0.12707103599500919, -0.12707104011135206, -0.12707104011135206, -0.12707104422769494, -0.12707104834403782]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
47,10,64,100,0.1,"[-0.06114711297195251, -0.06123703103242737, -0.06123830811781044, -0.061238534847176514, -0.06123862898029613, -0.06123867724860768, -0.061238681397341684, -0.06123872350160152, -0.06123875591075159, -0.06123874719448354, -0.06123873357676333, -0.061238748621361146, -0.06123875436328706, -0.061238741520244305, -0.061238734866771116]","[-0.12706709171526998, -0.12707035778635772, -0.12707075032081394, -0.1270708818791321, -0.12707094560011975, -0.12707098873939304, -0.12707100520476453, -0.12707103599500919, -0.12707104011135206, -0.12707104011135206, -0.12707104011135206, -0.12707104834403782, -0.12707104834403782, -0.12707104834403782, -0.12707104834403782]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
48,10,64,500,0.001,"[-0.060749594150783466, -0.0608700095645843, -0.060952664811104056, -0.06101132991127155, -0.06105565100038473, -0.06108977616317184, -0.061116623530556344, -0.06113783028634829, -0.06115499698148701, -0.06116881671055119, -0.061180168582547094, -0.061189347972518286, -0.06119690758180887, -0.06120313364102544, -0.061208265013821116]","[-0.12664665281772614, -0.12674328684806824, -0.12681134045124054, -0.12686192989349365, -0.12690101563930511, -0.1269317865371704, -0.1269562840461731, -0.12697607278823853, -0.1269920915365219, -0.12700511515140533, -0.12701568007469177, -0.1270243525505066, -0.1270313709974289, -0.12703721225261688, -0.1270420253276825]","[0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834, 0.7907834]","[0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196, 0.82044196]",0.8182831406593323
