,lookback,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
10,5,32,100,0.005,"[0.18622694925039274, 0.18612799398734867, 0.18612307441362694, 0.18612205112398272, 0.186121698029775, 0.18612154630475083, 0.18612149520989396, 0.18612146977920177, 0.1861214495505957, 0.18612144593215788, 0.18612144023636257, 0.18612143737722864, 0.18612143573983742, 0.18612143305934348, 0.18612144049372742]","[1.1028733254861942, 1.1028578469482209, 1.1028559015687822, 1.102855231258543, 1.1028549859252716, 1.102854885800532, 1.1028548166536123, 1.1028547993668825, 1.1028547959095365, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
11,5,32,100,0.1,"[0.18615813775003448, 0.18612169836519404, 0.186121451485587, 0.1861214369945228, 0.18612142661970926, 0.1861214398435156, 0.1861214157099775, 0.18612143947113652, 0.1861214274628853, 0.18612144084214569, 0.18612143505857084, 0.18612142586206054, 0.1861214358213922, 0.18612143714475501, 0.18612142813970137]","[1.1028556010562693, 1.1028548477697262, 1.1028547959095365, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
12,5,32,500,0.001,"[0.18646541533776181, 0.1863995288510245, 0.18634849625123925, 0.18630868860535815, 0.18627767755903982, 0.18625281859297027, 0.18623263471998458, 0.18621611706181315, 0.18620264613041362, 0.1861915217158346, 0.18618227442156923, 0.1861744327836262, 0.18616789516854323, 0.18616236419193755, 0.18615758358616352]","[1.103203535079956, 1.103137731552124, 1.103087306022644, 1.1030479669570923, 1.10301673412323, 1.1029912233352661, 1.1029706001281738, 1.1029539108276367, 1.1029400825500488, 1.1029287576675415, 1.102919101715088, 1.102911114692688, 1.1029043197631836, 1.1028984785079956, 1.1028934717178345]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
13,5,32,500,0.005,"[0.18638032472938731, 0.18623058747284668, 0.18616915264259254, 0.1861455951161682, 0.1861361986072349, 0.18613124168516437, 0.18612818866252528, 0.18612632479652036, 0.18612509909747946, 0.1861242488611582, 0.18612367406817606, 0.1861232461288479, 0.18612289287706, 0.18612263880069713, 0.18612241548724656]","[1.1030339002609253, 1.102932095527649, 1.1028921604156494, 1.1028763055801392, 1.1028687953948975, 1.102864146232605, 1.1028612852096558, 1.1028594970703125, 1.1028584241867065, 1.1028575897216797, 1.102856993675232, 1.1028566360473633, 1.1028562784194946, 1.102855920791626, 1.1028558015823364]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
14,5,32,500,0.1,"[0.18625450556836098, 0.18613970264299842, 0.1861278926145501, 0.18612340887361936, 0.18612228496354227, 0.18612181456331742, 0.18612161820200235, 0.18612154075983633, 0.1861214783458301, 0.18612145783145925, 0.18612143711363974, 0.18612145598245633, 0.1861214431903271, 0.1861214399576372, 0.1861214367287957]","[1.1028848886489868, 1.102865219116211, 1.1028578281402588, 1.102855920791626, 1.1028553247451782, 1.1028549671173096, 1.10285484790802, 1.10285484790802, 1.1028547286987305, 1.1028547286987305, 1.1028547286987305, 1.1028547286987305, 1.1028547286987305, 1.1028547286987305, 1.1028547286987305]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
15,5,32,800,0.001,"[0.18647517744174674, 0.18643196388955943, 0.18639441508769003, 0.1863622664789523, 0.18633537049874788, 0.1863122405715225, 0.18629194749904074, 0.18627451897467956, 0.1862592428676353, 0.1862458803744848, 0.18623397148345128, 0.1862234665342599, 0.18621412978684607, 0.1862057557037054, 0.1861982027853816]","[1.1032408475875854, 1.1031949520111084, 1.1031559705734253, 1.1031227111816406, 1.1030939817428589, 1.1030689477920532, 1.1030471324920654, 1.1030280590057373, 1.1030112504959106, 1.1029964685440063, 1.1029833555221558, 1.1029716730117798, 1.1029613018035889, 1.1029517650604248, 1.1029434204101562]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
16,5,32,800,0.005,"[0.18645486469603767, 0.18631411779456394, 0.18623396426197314, 0.18618648197532686, 0.18616016326118107, 0.18614651613737926, 0.18613930182023483, 0.186134857210246, 0.18613184261913143, 0.18612965105547885, 0.18612806141869095, 0.18612681421612906, 0.1861259056147465, 0.18612522074629453, 0.18612466912624265]","[1.1031216382980347, 1.103012204170227, 1.1029475927352905, 1.1029102802276611, 1.1028902530670166, 1.102879524230957, 1.1028733253479004, 1.1028691530227661, 1.1028660535812378, 1.1028636693954468, 1.1028618812561035, 1.102860450744629, 1.1028594970703125, 1.1028587818145752, 1.102858304977417]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
17,5,32,800,0.1,"[0.18630245697399803, 0.18616757432599207, 0.18613794255108873, 0.18613021051095538, 0.18612535531855812, 0.18612360954284668, 0.18612267163174212, 0.1861221425789447, 0.18612189024440512, 0.18612169566725897, 0.1861216008109002, 0.18612156073594252, 0.1861215257509188, 0.18612147547489355, 0.18612151623757417]","[1.1029314994812012, 1.1028778553009033, 1.102866530418396, 1.1028602123260498, 1.1028575897216797, 1.1028563976287842, 1.1028556823730469, 1.1028553247451782, 1.1028550863265991, 1.1028549671173096, 1.10285484790802, 1.10285484790802, 1.10285484790802, 1.1028547286987305, 1.1028547286987305]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
18,5,64,100,0.001,"[0.18635868893734595, 0.1861975096319891, 0.18615348040453336, 0.18613784769100744, 0.1861309755240739, 0.18612752771053168, 0.18612555118129007, 0.186124348865734, 0.18612356539437003, 0.1861230413160966, 0.1861226482899403, 0.18612237602152817, 0.18612215891842707, 0.18612201157625172, 0.18612188367896146]","[1.1029956409936714, 1.1029089615959027, 1.102880449140155, 1.1028690805567942, 1.1028635829617972, 1.1028605801876625, 1.102858842110689, 1.1028577432278415, 1.1028569658781702, 1.1028564406381682, 1.1028560812124797, 1.1028557357544688, 1.1028555561107716, 1.1028553624993964, 1.1028552589173106]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
19,5,64,100,0.005,"[0.1862043874927945, 0.1861258127630207, 0.18612266952146447, 0.18612189339427437, 0.18612164278430166, 0.18612150220108184, 0.18612147184490593, 0.1861214499859489, 0.18612143789886942, 0.18612145246653145, 0.18612142489962127, 0.18612142287382585, 0.18612143826817185, 0.186121436542956, 0.18612143840972917]","[1.1028653142623723, 1.1028572284981712, 1.1028556148856532, 1.102855134591149, 1.102854958266504, 1.1028548512270722, 1.1028547993668825, 1.1028547959095365, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905, 1.1028547924521905]","[0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128, 0.6082128]","[0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406, 0.575406]",0.608208954334259
