,n_units,batch_size,ln_rate,train_loss,val_loss,train_acc,val_acc,test_acc
10,16,300,0.001,"[1.0562329216267372, 0.9073682063753424, 0.812724327854588, 0.749233738251398, 0.7049271235540598, 0.6713949683627783, 0.6485278476589997, 0.6340656342202289, 0.624804416933645, 0.6173517033368098, 0.6120266281023496, 0.6079400440702657, 0.6041647763889189, 0.600617715346971, 0.5974107165916158, 0.5946329994178707, 0.5921115426954092, 0.5900190088866564, 0.5884350738370462, 0.5869119219688158]","[0.9698827347239932, 0.8622469305992126, 0.7978674334448737, 0.7532418644106066, 0.7185553135098638, 0.6928914849822586, 0.6760528522568781, 0.6646786654317701, 0.6556864477492668, 0.649507317994092, 0.6441031629974777, 0.6390756513621356, 0.6357066631317139, 0.6308416627548836, 0.6273291819804424, 0.6233440218745051, 0.6189190358728975, 0.6169978476859428, 0.6149933515368281, 0.6129764060716372]","[0.42057762, 0.53890896, 0.76935416, 0.77657443, 0.7771761, 0.7775772, 0.7775772, 0.77817893, 0.77978337, 0.77978337, 0.7787806, 0.77998394, 0.7793823, 0.77978337, 0.7801845, 0.7801845, 0.78058565, 0.78058565, 0.7803851, 0.7801845]","[0.5045045, 0.76036036, 0.7765766, 0.7765766, 0.7765766, 0.77837837, 0.78018016, 0.77837837, 0.78018016, 0.78018016, 0.78018016, 0.7837838, 0.7837838, 0.7837838, 0.7837838, 0.78018016, 0.78018016, 0.78018016, 0.77837837, 0.77837837]",0.7943723201751709
11,16,300,0.002,"[0.8625653832971547, 0.7149508846509041, 0.6548775803167755, 0.6345026161696506, 0.6231392209567175, 0.6152021154743382, 0.6093102965400824, 0.6045004074180456, 0.6001236713463363, 0.5961167557718665, 0.592638042429294, 0.590677777208863, 0.5878856449637889, 0.5860833839819319, 0.5841889490432831, 0.5825693266629886, 0.5810404244886552, 0.5796166558701783, 0.5784229601763646, 0.5768335661733194]","[0.7718539495725889, 0.6942876061877689, 0.6747031389056025, 0.6650494562612997, 0.6586779839283711, 0.6539418004654549, 0.6473295881941512, 0.6398779073277036, 0.6367492079734802, 0.6301326961130709, 0.6256396770477295, 0.6235019290769422, 0.6195308066703178, 0.6178299510801161, 0.6158691145278312, 0.615087045205606, 0.6115421169512981, 0.6111202062787237, 0.6105254324706825, 0.6086788096943417]","[0.6135178, 0.77637386, 0.77737665, 0.7777778, 0.77837944, 0.77837944, 0.77858, 0.77858, 0.77898115, 0.7793823, 0.77998394, 0.77978337, 0.7809868, 0.78158844, 0.7811873, 0.7809868, 0.78158844, 0.7807862, 0.78158844, 0.78138787]","[0.7675676, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7747748, 0.7747748, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.77837837, 0.77837837, 0.77837837, 0.77837837, 0.7765766, 0.7747748, 0.7747748, 0.7747748]",0.7929292917251587
12,16,300,0.003,"[1.0213729362625508, 0.6842248548095694, 0.6238268539219843, 0.6104922443090363, 0.6032628348874989, 0.5989481987505614, 0.5946736917455561, 0.591596395315246, 0.5883499148663774, 0.5863650872245448, 0.583579741803891, 0.5815474975553804, 0.5799666538422145, 0.5781191124095526, 0.5765544731981344, 0.5749901692359456, 0.5741667991367345, 0.5736993232071759, 0.572025760990331, 0.5714203076959373]","[0.7702295023041803, 0.660417247462917, 0.6504517874202213, 0.6425516138205657, 0.6361777025300104, 0.6331400162464863, 0.6278091250239192, 0.6241417527198792, 0.6218457028672502, 0.618008512097436, 0.6149405514871752, 0.6128207574019561, 0.609641661515107, 0.6088826189170012, 0.6077042946944365, 0.6061465514672769, 0.6056575726818394, 0.6051226322715347, 0.602933323061144, 0.604702390529014]","[0.5248696, 0.7769755, 0.77797836, 0.77837944, 0.7793823, 0.77998394, 0.77978337, 0.7793823, 0.7803851, 0.7809868, 0.7811873, 0.7819896, 0.78138787, 0.7807862, 0.78058565, 0.7823907, 0.781789, 0.7819896, 0.7823907, 0.78219014]","[0.7765766, 0.7765766, 0.77837837, 0.7765766, 0.77837837, 0.78018016, 0.7765766, 0.77837837, 0.7765766, 0.7747748, 0.7765766, 0.7765766, 0.7747748, 0.7747748, 0.77117115, 0.76936936, 0.772973, 0.76936936, 0.7675676, 0.7675676]",0.7871572971343994
13,16,300,0.005,"[0.8811539785956648, 0.6534334054635894, 0.6181971219902865, 0.6059151473315041, 0.5984941146433999, 0.5919385322881806, 0.5881989283395301, 0.5839342647798081, 0.5802954243121738, 0.5777701966455554, 0.5752657152685448, 0.5736427013767899, 0.5714024118137704, 0.5707872729439167, 0.5694169496801356, 0.5684205767049686, 0.5683204163713146, 0.5670014682946509, 0.565710101101803, 0.5641890155279249]","[0.6807583038871353, 0.6361010477349565, 0.6262763690304112, 0.6257934248125231, 0.6201947589178343, 0.612452465134698, 0.608192690320917, 0.6045193076133728, 0.601960451216311, 0.6000659014727618, 0.5974673048869984, 0.5966518279668447, 0.5961746412354547, 0.5945899695963472, 0.5942004178021405, 0.591905555209598, 0.5933048080753636, 0.5909952183027525, 0.5918572077880034, 0.5943710320704693]","[0.64119536, 0.77677494, 0.77817893, 0.77817893, 0.77858, 0.77958286, 0.7801845, 0.7807862, 0.77978337, 0.7823907, 0.7825913, 0.7835941, 0.78459686, 0.7839952, 0.784998, 0.7843963, 0.7855997, 0.7860008, 0.7860008, 0.7833935]","[0.7765766, 0.7747748, 0.77837837, 0.77837837, 0.77837837, 0.77837837, 0.77837837, 0.7765766, 0.78018016, 0.78018016, 0.77837837, 0.77837837, 0.77837837, 0.7765766, 0.7765766, 0.77837837, 0.77117115, 0.7765766, 0.772973, 0.772973]",0.7936508059501648
14,16,300,0.1,"[0.6775841312001041, 0.5965362877621978, 0.5922328598806287, 0.5857388836955909, 0.5830816929951471, 0.5779111949832287, 0.5773425777896647, 0.5681275297875296, 0.5819797128546539, 0.5755341017863094, 0.5862371437386055, 0.5750681575741865, 0.5692730083362291, 0.5672611095701601, 0.5703501354916432, 0.5714493124923982, 0.5769346107501272, 0.5788811621683169, 0.5713233730422891, 0.5656822000313034]","[0.6126803433572924, 0.5996323066788751, 0.5985427756567259, 0.5979931644491248, 0.5910011707125483, 0.5944169099266464, 0.6035663131121043, 0.6054583562387003, 0.6149814193313187, 0.6064544626184412, 0.6186345235721485, 0.6063781058466112, 0.6050417777654287, 0.5937754737364279, 0.5996161586529499, 0.6199155884820062, 0.6049923687367826, 0.6163774438806482, 0.6078967580924163, 0.5973130625647467]","[0.7374649, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755]","[0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766]",0.790043294429779
15,16,500,0.001,"[0.9891803534787389, 0.9002899886659959, 0.8169742536697816, 0.7539356205772311, 0.7099359624843926, 0.6823483329674254, 0.6653527330787986, 0.652435731156208, 0.642202985798361, 0.6338668020432415, 0.6271900222380861, 0.6216961247252499, 0.616914610952629, 0.612893824160362, 0.6094303444787005, 0.606574751887989, 0.6038406363845684, 0.601258038302956, 0.5991357671081231, 0.5967819574507566]","[0.9257475331022933, 0.8357645396713738, 0.764132428813625, 0.7145739004418656, 0.6846088981843209, 0.6677920990162067, 0.6578819010708783, 0.6504035704844707, 0.6447693045074875, 0.6405388986742174, 0.6371967035370905, 0.6344593161935205, 0.6325444579124451, 0.6311484253084337, 0.6295663945309751, 0.6283413676528243, 0.6270065978840664, 0.6260675342233332, 0.6246345177427068, 0.623540766067333]","[0.52286404, 0.7537104, 0.7777778, 0.7775772, 0.7775772, 0.7775772, 0.7775772, 0.7775772, 0.7775772, 0.77797836, 0.77858, 0.77858, 0.7793823, 0.7787806, 0.77817893, 0.77958286, 0.77958286, 0.77958286, 0.77978337, 0.77998394]","[0.73153156, 0.7657658, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.77837837, 0.77837837, 0.77837837, 0.77837837, 0.77837837, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766]",0.7936508059501648
16,16,500,0.002,"[0.9137697046509814, 0.7980248288987776, 0.7367087072318116, 0.692749560596567, 0.6630228043463255, 0.641393483426262, 0.6275897730654423, 0.617647894524782, 0.6112511287575212, 0.605977127865716, 0.6025999400494235, 0.598948523934185, 0.595788381901124, 0.5930938894520119, 0.5905187134756126, 0.5883313681387873, 0.5864355991128646, 0.5845029477225793, 0.5827074257953551, 0.5813164514946354]","[0.8759505920581989, 0.7983712537868602, 0.7431262226792069, 0.7025733837136278, 0.6752816819929862, 0.6580778150945097, 0.6463769910571812, 0.6401220624511307, 0.6350521370097324, 0.6320095507948248, 0.6274069434887654, 0.6247427082276559, 0.6229414537146285, 0.6203152950819548, 0.6181027153590778, 0.617167778917261, 0.615505140643936, 0.6137206667178386, 0.6128111288354203, 0.6122767243299398]","[0.5547533, 0.7761733, 0.7769755, 0.7769755, 0.7771761, 0.77797836, 0.77858, 0.7777778, 0.7775772, 0.7777778, 0.7775772, 0.7777778, 0.7777778, 0.77797836, 0.77817893, 0.7775772, 0.7769755, 0.7777778, 0.7775772, 0.7769755]","[0.76036036, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.77837837, 0.772973, 0.7747748, 0.7765766, 0.7765766, 0.7765766, 0.7747748, 0.77837837, 0.77837837, 0.77837837, 0.7765766, 0.7765766, 0.7747748, 0.772973, 0.772973]",0.7965368032455444
17,16,500,0.003,"[1.1039905475652032, 0.8094873236357042, 0.6950638976338107, 0.643751904589557, 0.6207820663144203, 0.6119517597193895, 0.6073430276902095, 0.6029281725235077, 0.5996368171888521, 0.596575155967792, 0.5942340480530545, 0.5920104201041787, 0.589619775493605, 0.5879310079477802, 0.585908948729615, 0.5844535809226941, 0.5833279391010268, 0.5821016955413926, 0.5810480971581191, 0.5804763158497158]","[0.8944180715191472, 0.750516483375618, 0.6957011920911772, 0.6660367347098686, 0.6515240647771336, 0.6474160449998873, 0.6442769212765737, 0.6410621281142708, 0.635968600307499, 0.6330099610595016, 0.6303938192290228, 0.6279757989419473, 0.6247302138053619, 0.6221295471663948, 0.620598549778397, 0.6178679450138195, 0.6167035731109413, 0.6132930361472808, 0.6125235434051033, 0.6119546106269768]","[0.40072203, 0.7380666, 0.77115923, 0.7745688, 0.7771761, 0.77797836, 0.77858, 0.7791817, 0.7801845, 0.77898115, 0.77898115, 0.7801845, 0.78058565, 0.78058565, 0.7803851, 0.77978337, 0.77978337, 0.77978337, 0.78058565, 0.7801845]","[0.6918919, 0.76216215, 0.76936936, 0.77117115, 0.772973, 0.7747748, 0.7747748, 0.772973, 0.7747748, 0.7747748, 0.77837837, 0.7747748, 0.77837837, 0.77837837, 0.77837837, 0.7765766, 0.77837837, 0.77837837, 0.7765766, 0.7765766]",0.7972583174705505
18,16,500,0.005,"[1.1824113439471187, 0.8020946681619026, 0.6545199148873942, 0.6253712100051179, 0.6093501279596053, 0.6001169185680507, 0.5956673128175487, 0.591809397163613, 0.5890821533608618, 0.586609438892545, 0.5848231111909795, 0.5832893432406024, 0.5815290299420179, 0.5802225066245057, 0.578738047805982, 0.577994621904605, 0.5766066533707253, 0.5752222723526692, 0.5743416337616895, 0.5729808468346227]","[0.9221099711753227, 0.6987598720971528, 0.6450242163898708, 0.6442841082005888, 0.6325430231051402, 0.6264606349103086, 0.6223256110071061, 0.6208028046934454, 0.6204625115738259, 0.6158227947381165, 0.613598679100071, 0.614712183002953, 0.609103131938625, 0.6091825795603228, 0.6073439797839603, 0.6047394581743188, 0.604077241442225, 0.6031426357793378, 0.6015465495822666, 0.599656513145378]","[0.28098676, 0.7739671, 0.7769755, 0.7769755, 0.77817893, 0.7777778, 0.7777778, 0.77858, 0.77737665, 0.7787806, 0.77958286, 0.7807862, 0.78058565, 0.7807862, 0.78138787, 0.7809868, 0.77998394, 0.7809868, 0.7807862, 0.7811873]","[0.7477477, 0.7765766, 0.7765766, 0.7765766, 0.7747748, 0.772973, 0.7765766, 0.7747748, 0.7747748, 0.77837837, 0.7747748, 0.772973, 0.772973, 0.7747748, 0.7747748, 0.76936936, 0.772973, 0.7747748, 0.7747748, 0.772973]",0.7914862632751465
19,16,500,0.1,"[0.6921513243415869, 0.5990990823261049, 0.5950594292890102, 0.5937816174069515, 0.5899721580339731, 0.5863299272981362, 0.578850731044422, 0.5797232703372651, 0.581312128065869, 0.5688245163067153, 0.5724060666929323, 0.5685220596496714, 0.5701961239274611, 0.570066110321761, 0.566945535229049, 0.5640662196310849, 0.5635276182416066, 0.5624034882213426, 0.5687075798118444, 0.5659307126438479]","[0.6315260851705397, 0.6089520234245438, 0.6133807312260877, 0.606250925644024, 0.5995271603266398, 0.6027013723914688, 0.6107856556101963, 0.6037543233450469, 0.5963769716185492, 0.6003832715051668, 0.5904549263619088, 0.5874402061239019, 0.603457323602728, 0.5904031761057742, 0.5920636455217997, 0.5976312960590329, 0.5848384053857477, 0.594649819640426, 0.6008178108447307, 0.5895016048405621]","[0.7759727, 0.7769755, 0.7769755, 0.7769755, 0.7771761, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.7769755, 0.77577215, 0.7769755, 0.7769755, 0.7771761, 0.7771761]","[0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.7765766, 0.772973, 0.7765766]",0.790043294429779
